Label,Brand,Name,Price,Rank,Ingredients,Combination,Dry,Normal,Oily,Sensitive,ALL_SKIN_TYPES_COUNT,Suitable_For_All_Skin
Eye Cream,THE ORDINARY,THE ORDINARY Lightful C Eye Cream #25,15.92,4.3,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,0,1,1,0,3,No
Treatment,YOUTH TO THE PEOPLE,YOUTH TO THE PEOPLE Retinol Reform #26,81.77,3.8,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,1,0,1,1,4,No
Eye Cream,ESTÉE LAUDER,ESTÉE LAUDER Lightful C Eye Cream #27,46.81,4.8,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,0,1,0,1,3,No
Eye Cream,FIRST AID BEAUTY,FIRST AID BEAUTY Lightful C Eye Cream #28,108.61,4.6,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,0,1,0,0,2,No
Moisturizer,BELIF,BELIF C-Firma Fresh Day Serum #29,37.37,3.8,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,0,4,No
Moisturizer,KIEHL'S SINCE 1851,KIEHL'S SINCE 1851 Midnight Recovery Concentrate #30,95.32,3.5,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,0,1,1,1,4,No
Eye Cream,LA MER,LA MER Banana Bright Eye Crème #31,116.82,4.7,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,0,1,1,0,3,No
Moisturizer,FIRST AID BEAUTY,FIRST AID BEAUTY Lala Retro Whipped Cream #32,101.31,4.6,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,1,1,1,0,4,No
Eye Cream,DRAUNK ELEPHANT,DRAUNK ELEPHANT Lightful C Eye Cream #33,88.46,4.8,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,0,1,0,3,No
Sun Protect,IT COSMETICS,IT COSMETICS UV Clear Broad-Spectrum #34,92.99,4.7,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,1,5,Yes
Face Mask,PAULA'S CHOICE,PAULA'S CHOICE Water Sleeping Mask #35,94.23,4.1,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,1,1,0,1,4,No
Treatment,HERBIVORE,HERBIVORE Good Genes All-In-One Lactic Acid #36,107.15,3.8,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",0,0,1,1,0,2,No
Cleanser,SHISEIDO,SHISEIDO Soy Face Cleanser #37,33.32,4.1,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,1,1,0,4,No
Treatment,DRUNK ELEPHANT,DRUNK ELEPHANT Hyaluronic Acid 2% + B5 #38,24.15,4.8,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,0,0,1,0,2,No
Eye Cream,ORIGINS,ORIGINS Peptide Eye Complex #39,96.93,4.5,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,1,1,1,0,4,No
Eye Cream,CLINIQUE,CLINIQUE Autocorrect Brightening Eye Cream #40,60.16,4.8,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,0,0,1,0,2,No
Treatment,ESTÉE LAUDER,ESTÉE LAUDER Hyaluronic Acid 2% + B5 #41,91.58,4.3,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",0,1,0,0,1,2,No
Sun Protect,FRESH,FRESH Hydro UV Defense SPF 50 #42,31.29,4.2,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,1,1,0,4,No
Cleanser,SEPHORA COLLECTION,SEPHORA COLLECTION Soy Face Cleanser #43,7.69,4.9,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,1,0,0,1,3,No
Face Mask,YOUTH TO THE PEOPLE,YOUTH TO THE PEOPLE Water Sleeping Mask #44,36.69,4.4,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",0,1,1,1,1,4,No
Eye Cream,THE ORDINARY,THE ORDINARY Banana Bright Eye Crème #45,13.85,4.6,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,0,1,0,3,No
Sun Protect,MARIO BADESCU,MARIO BADESCU UV Clear Broad-Spectrum #46,46.29,3.8,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,1,1,1,5,Yes
Moisturizer,CAUDALIE,CAUDALIE Ultra Facial Cream #47,47.37,3.9,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,1,1,0,1,4,No
Sun Protect,SEPHORA COLLECTION,SEPHORA COLLECTION Hydro UV Defense SPF 50 #48,10.21,4.0,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",0,1,1,0,1,3,No
Face Mask,SK-II,SK-II Charcoal Pore Minimizing Mask #49,350.39,4.3,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,0,1,1,1,4,No
Eye Cream,KATE SOMERVILLE,KATE SOMERVILLE Lightful C Eye Cream #50,101.21,4.1,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",0,1,1,1,0,3,No
Sun Protect,YOUTH TO THE PEOPLE,YOUTH TO THE PEOPLE Hydro UV Defense SPF 50 #51,38.19,4.1,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,1,5,Yes
Cleanser,DERMALOGICA,DERMALOGICA Gentle Skin Cleanser #52,28.32,4.0,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",0,0,1,1,0,2,No
Face Mask,SHISEIDO,SHISEIDO Charcoal Pore Minimizing Mask #53,31.04,3.4,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,0,1,1,1,4,No
Moisturizer,THE ORDINARY,THE ORDINARY Ultra Facial Cream #54,19.59,4.3,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,0,1,4,No
Sun Protect,SHISEIDO,SHISEIDO City Sunscreen Serum #55,38.43,4.3,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,1,1,1,5,Yes
Treatment,BIOSSANCE,BIOSSANCE Hyaluronic Acid 2% + B5 #56,104.97,3.7,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,1,1,1,1,5,Yes
Treatment,KATE SOMERVILLE,KATE SOMERVILLE Hyaluronic Acid 2% + B5 #57,80.89,3.5,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,0,1,1,4,No
Face Mask,MURAD,MURAD Sheet Mask Hydrating #58,100.68,4.1,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",0,1,1,1,1,4,No
Face Mask,HERBIVORE,HERBIVORE Superberry Hydrate + Glow Dream Mask #59,97.25,4.6,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,1,1,1,1,5,Yes
Treatment,SK-II,SK-II Niacinamide 10% + Zinc 1% #60,341.78,3.7,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,0,1,1,0,3,No
Eye Cream,LA MER,LA MER Lightful C Eye Cream #61,369.94,3.5,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",0,1,1,1,1,4,No
Face Mask,SK-II,SK-II Jet Lag Mask #62,180.33,4.0,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,0,0,1,1,3,No
Sun Protect,IT COSMETICS,IT COSMETICS City Sunscreen Serum #63,84.45,3.8,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,1,1,1,1,5,Yes
Sun Protect,KATE SOMERVILLE,KATE SOMERVILLE Hydro UV Defense SPF 50 #64,39.92,3.7,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,0,1,0,0,2,No
Cleanser,MURAD,MURAD Gentle Skin Cleanser #65,50.0,4.5,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,0,4,No
Sun Protect,LANEIGE,LANEIGE Unseen Sunscreen SPF 40 #66,99.05,4.3,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",0,1,1,0,1,3,No
Treatment,MARIO BADESCU,MARIO BADESCU Good Genes All-In-One Lactic Acid #67,94.7,4.0,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,1,1,1,1,5,Yes
Cleanser,FARMACY,FARMACY Foaming Facial Cleanser #68,76.14,4.6,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",0,1,0,1,1,3,No
Treatment,TATCHA,TATCHA Good Genes All-In-One Lactic Acid #69,369.8,3.7,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,0,0,3,No
Eye Cream,SUNDAY RILEY,SUNDAY RILEY Autocorrect Brightening Eye Cream #70,24.23,4.1,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",0,0,1,0,0,1,No
Sun Protect,CAUDALIE,CAUDALIE Hydro UV Defense SPF 50 #71,97.93,3.5,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,0,1,0,3,No
Sun Protect,SEPHORA COLLECTION,SEPHORA COLLECTION City Sunscreen Serum #72,19.4,3.5,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,0,0,1,1,3,No
Sun Protect,FIRST AID BEAUTY,FIRST AID BEAUTY Hydro UV Defense SPF 50 #73,58.62,3.8,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",0,1,1,1,1,4,No
Sun Protect,ORIGINS,ORIGINS Defense Refresh Setting Mist #74,45.53,3.5,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,0,1,0,1,3,No
Eye Cream,SUPERGOOP!,SUPERGOOP! Concentrate Eye Cream #75,39.61,4.3,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",0,1,0,1,1,3,No
Treatment,ORIGINS,ORIGINS Good Genes All-In-One Lactic Acid #76,97.77,3.9,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",0,0,0,1,1,2,No
Moisturizer,ORIGINS,ORIGINS The True Cream Aqua Bomb #77,51.8,4.9,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,1,0,1,0,3,No
Eye Cream,MURAD,MURAD Lightful C Eye Cream #78,89.05,4.3,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,0,1,1,1,4,No
Sun Protect,LANEIGE,LANEIGE Unseen Sunscreen SPF 40 #79,26.48,4.3,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,0,1,1,1,4,No
Cleanser,FARMACY,FARMACY Micellar Cleansing Water #80,105.45,4.4,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",0,0,1,1,1,3,No
Face Mask,THE ORDINARY,THE ORDINARY Babyfacial AHA/BHA Mask #81,15.27,4.0,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,1,1,1,0,4,No
Eye Cream,HERBIVORE,HERBIVORE Banana Bright Eye Crème #82,48.32,3.8,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",0,1,0,1,0,2,No
Treatment,KATE SOMERVILLE,KATE SOMERVILLE Hyaluronic Acid 2% + B5 #83,63.16,3.9,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,1,5,Yes
Treatment,MARIO BADESCU,MARIO BADESCU Hyaluronic Acid 2% + B5 #84,57.2,4.4,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,1,0,0,3,No
Moisturizer,SUPERGOOP!,SUPERGOOP! The Water Cream #85,69.23,4.1,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,1,1,1,5,Yes
Treatment,IT COSMETICS,IT COSMETICS Hyaluronic Acid 2% + B5 #86,79.89,4.7,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",0,0,0,1,1,2,No
Cleanser,CAUDALIE,CAUDALIE Special Cleansing Gel #87,88.22,4.1,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,1,1,1,1,5,Yes
Moisturizer,ORIGINS,ORIGINS Crème de la Mer #88,49.23,4.0,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,0,0,3,No
Moisturizer,BIOSSANCE,BIOSSANCE Dewy Skin Cream #89,82.75,4.1,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,1,0,1,1,4,No
Treatment,LA MER,LA MER Niacinamide 10% + Zinc 1% #90,356.35,4.4,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,1,5,Yes
Sun Protect,SHISEIDO,SHISEIDO UV Clear Broad-Spectrum #91,96.7,3.7,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",0,1,1,1,0,3,No
Eye Cream,CAUDALIE,CAUDALIE Peptide Eye Complex #92,49.39,4.9,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",0,0,1,1,1,3,No
Treatment,PAULA'S CHOICE,PAULA'S CHOICE Vitamin C Brightening Serum #93,42.83,3.7,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,1,1,1,1,5,Yes
Moisturizer,MURAD,MURAD Protini Polypeptide Cream #94,31.75,3.8,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",0,1,1,0,0,2,No
Eye Cream,TULA,TULA Concentrate Eye Cream #95,95.42,3.8,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,0,1,1,1,4,No
Cleanser,PAULA'S CHOICE,PAULA'S CHOICE Foaming Facial Cleanser #96,107.19,4.6,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,1,1,1,1,5,Yes
Face Mask,MURAD,MURAD Sheet Mask Hydrating #97,88.41,3.8,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,1,1,1,1,5,Yes
Eye Cream,ORIGINS,ORIGINS Lightful C Eye Cream #98,43.04,3.5,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,1,1,0,1,4,No
Moisturizer,FIRST AID BEAUTY,FIRST AID BEAUTY Honeymoon Glow AHA #99,33.99,3.8,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,1,0,1,1,4,No
Eye Cream,SEPHORA COLLECTION,SEPHORA COLLECTION Avocado Melt Retinol Eye Cream #100,16.82,4.7,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",0,0,1,1,0,2,No
Face Mask,SUPERGOOP!,SUPERGOOP! Water Sleeping Mask #101,97.57,3.5,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,0,1,1,0,3,No
Cleanser,FARMACY,FARMACY Micellar Cleansing Water #102,31.88,3.7,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,1,0,0,3,No
Eye Cream,ESTÉE LAUDER,ESTÉE LAUDER Banana Bright Eye Crème #103,95.36,4.2,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,1,1,0,1,4,No
Treatment,SEPHORA COLLECTION,SEPHORA COLLECTION Retinol Reform #104,15.1,4.6,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,1,1,1,0,4,No
Eye Cream,ORIGINS,ORIGINS Banana Bright Eye Crème #105,38.99,3.5,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",0,1,1,1,1,4,No
Treatment,TULA,TULA Good Genes All-In-One Lactic Acid #106,62.87,3.7,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,0,0,1,1,3,No
Face Mask,YOUTH TO THE PEOPLE,YOUTH TO THE PEOPLE Babyfacial AHA/BHA Mask #107,83.0,4.1,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,1,1,0,1,4,No
Cleanser,HERBIVORE,HERBIVORE Kalie Squalane Cleanser #108,56.76,4.3,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",0,1,1,1,0,3,No
Face Mask,SUPERGOOP!,SUPERGOOP! Water Sleeping Mask #109,59.59,4.6,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",0,1,1,1,0,3,No
Sun Protect,SHISEIDO,SHISEIDO City Sunscreen Serum #110,106.01,4.4,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,1,1,1,1,5,Yes
Moisturizer,MURAD,MURAD Protini Polypeptide Cream #111,71.85,4.3,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,1,0,1,1,4,No
Sun Protect,TATCHA,TATCHA City Sunscreen Serum #112,269.12,3.9,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,1,0,0,1,3,No
Treatment,MURAD,MURAD Good Genes All-In-One Lactic Acid #113,89.58,4.3,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,0,1,0,0,2,No
Sun Protect,FIRST AID BEAUTY,FIRST AID BEAUTY City Sunscreen Serum #114,54.19,3.7,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",0,1,1,1,1,4,No
Sun Protect,KORA ORGANICS,KORA ORGANICS Mineral Mattescreen SPF 30 #115,56.35,4.1,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,0,1,1,1,4,No
Cleanser,FRESH,FRESH Soy Face Cleanser #116,81.96,3.8,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",0,1,0,1,0,2,No
Cleanser,TULA,TULA Green Clean Makeup Mending Cleansing Balm #117,53.68,3.6,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",0,0,1,0,1,2,No
Eye Cream,TATCHA,TATCHA Banana Bright Eye Crème #118,154.28,4.8,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,0,1,1,1,4,No
Face Mask,KORA ORGANICS,KORA ORGANICS Water Sleeping Mask #119,35.11,4.2,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,0,1,1,4,No
Moisturizer,DERMALOGICA,DERMALOGICA The Water Cream #120,98.14,4.3,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",0,1,1,1,1,4,No
Moisturizer,ORIGINS,ORIGINS Protini Polypeptide Cream #121,92.91,4.3,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,0,1,0,3,No
Face Mask,YOUTH TO THE PEOPLE,YOUTH TO THE PEOPLE Clay Detox Mask #122,30.76,4.7,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,1,0,1,4,No
